,datos
1313,2.16
1314,1.84
1315,1.6
1316,1.52
1317,1.76
1318,2.16
1319,2.72
1320,3.6
1321,4.5600000000000005
1322,5.44
1323,6.4
1324,7.2
1325,7.68
1326,8.08
1327,8.24
1328,8.0
1329,7.6000000000000005
1330,6.88
1331,6.16
1332,5.12
1333,4.24
1334,3.36
1335,2.48
1336,2.0
1337,1.68
1338,1.6
1339,1.68
1340,1.92
1341,2.4
1342,3.2
1343,4.16
1344,5.04
1345,6.08
1346,6.8
1347,7.5200000000000005
1348,7.92
1349,8.16
1350,8.08
1351,7.68
1352,7.2
1353,6.4
1354,5.5200000000000005
1355,4.64
1356,3.7600000000000002
1357,2.8000000000000003
1358,2.24
1359,1.84
1360,1.52
1361,1.6
1362,1.76
1363,2.16
1364,2.8000000000000003
1365,3.7600000000000002
1366,4.64
1367,5.5200000000000005
1368,6.48
1369,7.28
1370,7.76
1371,8.0
1372,8.08
1373,7.84
1374,7.44
1375,6.72
1376,6.0
1377,5.04
1378,4.16
1379,3.2800000000000002
1380,2.48
1381,2.0
1382,1.68
1383,1.6
1384,1.68
1385,2.0
1386,2.56
1387,3.44
1388,4.32
1389,5.2
1390,6.16
1391,6.8
1392,7.5200000000000005
1393,7.92
1394,8.08
1395,7.92
1396,7.6000000000000005
1397,7.12
1398,6.32
1399,5.44
1400,4.5600000000000005
1401,3.68
1402,2.8000000000000003
1403,2.16
1404,1.84
1405,1.68
1406,1.68
1407,1.92
1408,2.32
1409,3.04
1410,3.92
1411,4.8
1412,5.6000000000000005
1413,6.48
1414,7.2
1415,7.68
1416,8.0
1417,8.0
1418,7.84
1419,7.36
1420,6.640000000000001
1421,5.76
1422,4.88
1423,4.08
1424,3.2
1425,2.4
1426,2.0
1427,1.76
1428,1.68
1429,1.84
1430,2.08
1431,2.64
1432,3.52
1433,4.4
1434,5.2
1435,6.16
1436,6.88
1437,7.5200000000000005
1438,7.84
1439,8.0
1440,7.92
1441,7.5200000000000005
1442,6.96
1443,6.16
1444,5.28
1445,4.4
1446,3.6
1447,2.8000000000000003
1448,2.16
1449,1.92
1450,1.68
1451,1.76
1452,2.0
1453,2.4
1454,3.2
1455,4.0
1456,4.88
1457,5.76
1458,6.5600000000000005
1459,7.28
1460,7.68
1461,7.92
1462,7.84
1463,7.6000000000000005
1464,7.2
1465,6.48
1466,5.68
1467,4.88
1468,4.0
1469,3.12
1470,2.4
1471,2.0
1472,1.76
1473,1.68
1474,1.92
1475,2.24
1476,2.8000000000000003
1477,3.68
1478,4.5600000000000005
1479,5.36
1480,6.24
1481,6.96
1482,7.5200000000000005
1483,7.84
1484,7.92
1485,7.76
1486,7.44
1487,6.8
1488,6.08
1489,5.2
1490,4.32
1491,3.52
1492,2.64
1493,2.08
1494,1.84
1495,1.76
1496,1.84
1497,2.08
1498,2.56
1499,3.36
1500,4.16
1501,4.96
1502,5.84
1503,6.640000000000001
1504,7.28
1505,7.68
1506,7.84
1507,7.84
1508,7.6000000000000005
1509,7.12
1510,6.4
1511,5.5200000000000005
1512,4.72
1513,3.84
1514,3.04
1515,2.4
1516,2.08
1517,1.84
1518,1.84
1519,2.0
1520,2.32
1521,2.96
1522,3.7600000000000002
1523,4.64
1524,5.44
1525,6.32
1526,6.96
1527,7.5200000000000005
1528,7.84
1529,7.92
1530,7.68
1531,7.28
1532,6.640000000000001
1533,5.92
1534,5.04
1535,4.24
1536,3.44
1537,2.72
1538,2.16
1539,1.92
1540,1.84
1541,1.92
1542,2.16
1543,2.64
1544,3.44
1545,4.32
1546,5.12
1547,6.0
1548,6.72
1549,7.28
1550,7.6000000000000005
1551,7.76
1552,7.68
1553,7.44
1554,6.88
1555,6.24
1556,5.44
1557,4.64
1558,3.84
1559,3.04
1560,2.32
1561,2.0
1562,1.84
1563,1.84
1564,2.08
1565,2.4
1566,3.12
1567,4.0
1568,4.8
1569,5.5200000000000005
1570,6.32
1571,6.96
1572,7.44
1573,7.68
1574,7.76
1575,7.5200000000000005
1576,7.2
1577,6.5600000000000005
1578,5.76
1579,4.96
1580,4.16
1581,3.36
1582,2.64
1583,2.08
1584,1.92
1585,1.84
1586,2.08
1587,2.32
1588,2.8000000000000003
1589,3.68
1590,4.4
1591,5.12
1592,6.0
1593,6.72
1594,7.28
1595,7.6000000000000005
1596,7.76
1597,7.68
1598,7.36
1599,6.8
1600,6.16
1601,5.28
1602,4.48
1603,3.68
1604,2.88
1605,2.32
1606,2.08
1607,1.92
1608,1.92
1609,2.16
1610,2.56
1611,3.2800000000000002
1612,4.08
1613,4.8
1614,5.6000000000000005
1615,6.4
1616,7.04
1617,7.5200000000000005
1618,7.68
1619,7.68
1620,7.44
1621,6.96
1622,6.4
1623,5.6000000000000005
1624,4.8
1625,4.08
1626,3.2800000000000002
1627,2.64
1628,2.24
1629,2.0
1630,1.92
1631,2.08
1632,2.4
1633,2.96
1634,3.7600000000000002
1635,4.48
1636,5.28
1637,6.16
1638,6.8
1639,7.36
1640,7.6000000000000005
1641,7.68
1642,7.5200000000000005
1643,7.2
1644,6.72
1645,6.0
1646,5.2
1647,4.4
1648,3.68
1649,2.88
1650,2.32
1651,2.08
1652,1.92
1653,2.0
1654,2.24
1655,2.72
1656,3.44
1657,4.24
1658,4.96
1659,5.76
1660,6.48
1661,7.04
1662,7.44
1663,7.6000000000000005
1664,7.6000000000000005
1665,7.36
1666,6.88
1667,6.32
1668,5.5200000000000005
1669,4.8
1670,4.0
1671,3.2
1672,2.48
1673,2.16
1674,2.0
1675,2.0
1676,2.16
1677,2.48
1678,3.2
1679,3.92
1680,4.64
1681,5.36
1682,6.24
1683,6.72
1684,7.28
1685,7.5200000000000005
1686,7.6000000000000005
1687,7.44
1688,7.12
1689,6.5600000000000005
1690,5.76
1691,4.96
1692,4.24
1693,3.52
1694,2.8000000000000003
1695,2.32
1696,2.08
1697,2.0
1698,2.08
1699,2.32
1700,2.88
1701,3.6
1702,4.32
1703,5.04
1704,5.76
1705,6.48
1706,7.12
1707,7.44
1708,7.6000000000000005
1709,7.5200000000000005
1710,7.2
1711,6.72
1712,6.16
1713,5.28
1714,4.5600000000000005
1715,3.92
1716,3.12
1717,2.56
1718,2.16
1719,2.08
1720,2.08
1721,2.24
1722,2.64
1723,3.2800000000000002
1724,4.0
1725,4.8
1726,5.5200000000000005
1727,6.32
1728,6.88
1729,7.28
1730,7.5200000000000005
1731,7.5200000000000005
1732,7.36
1733,6.96
1734,6.4
1735,5.68
1736,4.96
1737,4.24
1738,3.52
1739,2.72
1740,2.32
1741,2.08
1742,2.08
1743,2.08
1744,2.4
1745,3.04
1746,3.7600000000000002
1747,4.48
1748,5.2
1749,6.0
1750,6.640000000000001
1751,7.12
1752,7.36
1753,7.5200000000000005
1754,7.44
1755,7.12
1756,6.640000000000001
1757,6.0
1758,5.2
1759,4.48
1760,3.7600000000000002
1761,3.04
1762,2.48
1763,2.16
1764,2.08
1765,2.16
1766,2.32
1767,2.72
1768,3.44
1769,4.16
1770,4.88
1771,5.6000000000000005
1772,6.32
1773,6.8
1774,7.28
1775,7.44
1776,7.5200000000000005
1777,7.28
1778,6.88
1779,6.32
1780,5.5200000000000005
1781,4.8
1782,4.08
1783,3.36
1784,2.72
1785,2.32
1786,2.16
1787,2.08
1788,2.24
1789,2.56
1790,3.2
1791,3.84
1792,4.48
1793,5.2
1794,6.0
1795,6.640000000000001
1796,7.12
1797,7.44
1798,7.5200000000000005
1799,7.36
1800,7.04
1801,6.48
1802,5.84
